"","key","state","city","population","fips_code","latitude","longitude","area","urban_area","date","retail_traffic","density_log"
"1","US_NY_36061","NY","New York County",1630698,36061,40.728333,-73.994167,87,NA,2020-10-04,-55,4.27285428593379
"2","US_HI_15007","HI","Kauai County",71827,15007,22.066667,-159.65,3280,NA,2020-10-04,-54,1.34041388391257
"3","US_HI_15009","HI","Maui County",166146,15009,20.883333,-156.65,6213,NA,2020-10-04,-53,1.4271885363962
"4","US_CA_06051","CA","Mono County",14354,6051,37.916667,-118.866667,8111,NA,2020-10-04,-51,0.247898540495393
"5","US_CA_06075","CA","San Francisco County",878040,6075,37.778333,-122.4425,600,NA,2020-10-04,-50,3.16536305069737
"6","US_AZ_04001","AZ","Apache County",71545,4001,35.423889,-109.4425,29056,NA,2020-10-04,-49,0.391343461173943
"7","US_HI_15001","HI","Hawaii County",199981,15001,19.583333,-155.5,13174,NA,2020-10-04,-47,1.18127107662283
"8","US_LA_22071","LA","Orleans Parish",391493,22071,29.966667,-90.05,907,NA,2020-10-04,-47,2.6351167141013
"9","US_DC_11001","DC","District of Columbia",694906,11001,38.895,-77.036667,177,NA,2020-10-04,-45,3.59395279514588
"10","US_TX_48389","TX","Reeves County",15166,48389,31.32,-103.68,6843,NA,2020-10-04,-42,0.345624511654233
"11","US_AZ_04023","AZ","Santa Cruz County",46566,4023,31.533333,-110.833333,3207,NA,2020-10-04,-40,1.16196997389141
"12","US_CA_06025","CA","Imperial County",181649,6025,33.04,-115.35,11608,NA,2020-10-04,-40,1.1944756119313
"13","US_NM_35025","NM","Lea County",69046,35025,32.8,-103.42,11380,NA,2020-10-04,-40,0.782996261865792
"14","US_AZ_04012","AZ","La Paz County",20706,4012,33.840278,-113.942778,11690,NA,2020-10-04,-39,0.24828169851329
"15","US_VA_51013","VA","Arlington County",234647,51013,38.880278,-77.108333,67,NA,2020-10-04,-39,3.5443402033577
"16","US_HI_15003","HI","Honolulu County",986353,15003,21.466667,-157.966667,5509,NA,2020-10-04,-38,2.25295959745223
"17","US_CA_06085","CA","Santa Clara County",1932510,6085,37.36,-121.97,3377,NA,2020-10-04,-37,2.75759068926858
"18","US_TX_48323","TX","Maverick County",58111,48323,28.75,-100.32,3346,NA,2020-10-04,-37,1.2397324124098
"19","US_CA_06001","CA","Alameda County",1660196,6001,37.65,-121.91,2127,NA,2020-10-04,-35,2.89239187325395
"20","US_FL_12021","FL","Collier County",372678,12021,26.08,-81.4,5970,NA,2020-10-04,-35,1.79535942502504
"21","US_FL_12119","FL","Sumter County",124995,12119,28.71,-82.08,1503,NA,2020-10-04,-35,1.91993366029443
"22","US_CA_06055","CA","Napa County",139878,6055,38.5,-122.32,2042,NA,2020-10-04,-34,1.83569367631259
"23","US_FL_12087","FL","Monroe County",76483,12087,25.12,-81.15,9679,NA,2020-10-04,-34,0.897734424685449
"24","US_FL_12095","FL","Orange County",1355921,12095,28.51,-81.32,2601,NA,2020-10-04,-34,2.71709403478095
"25","US_CO_08107","CO","Routt County",25171,8107,40.48,-106.99,6133,NA,2020-10-04,-33,0.613227504967143
"26","US_VA_51610","VA","Falls Church",14245,51610,38.882222,-77.171111,5,NA,2020-10-04,-33,3.45469244923948
"27","US_TX_48427","TX","Starr County",64130,48427,26.57,-98.73,3184,NA,2020-10-04,-32,1.30408818085161
"28","US_FL_12115","FL","Sarasota County",419680,12115,27.19,-82.37,1878,NA,2020-10-04,-31,2.34922268531619
"29","US_MA_25025","MA","Suffolk County",800806,25025,42.334949,-71.073494,311,NA,2020-10-04,-31,3.41076692938689
"30","US_NM_35015","NM","Eddy County",57108,35015,32.47,-104.3,10872,NA,2020-10-04,-31,0.720387507121944
"31","US_CA_06037","CA","Los Angeles County",10103711,6037,34.05,-118.25,12308,NA,2020-10-04,-30,2.91429342787167
"32","US_CA_06081","CA","San Mateo County",768901,6081,37.44,-122.36,1919,NA,2020-10-04,-30,2.60279545099377
"33","US_FL_12027","FL","DeSoto County",37241,12027,27.19,-81.81,1656,NA,2020-10-04,-30,1.35196100174688
"34","US_FL_12103","FL","Pinellas County",968341,12103,27.9,-82.74,1574,NA,2020-10-04,-29,2.78902359244613
"35","US_NM_35028","NM","Los Alamos County",18742,35028,35.87,-106.31,283,NA,2020-10-04,-29,1.82102949801881
"36","US_AZ_04027","AZ","Yuma County",209507,4027,32.786944,-113.982778,14294,NA,2020-10-04,-28,1.16604476032755
"37","US_FL_12015","FL","Charlotte County",181522,12015,26.9,-81.95,2225,NA,2020-10-04,-28,1.91159925262041
"38","US_FL_12055","FL","Highlands County",103852,12055,27.34,-81.34,2865,NA,2020-10-04,-28,1.55929023836742
"39","US_FL_12071","FL","Lee County",740000,12071,26.58,-81.92,3139,NA,2020-10-04,-28,2.37244040403093
"40","US_NY_36047","NY","Kings County",2594676,36047,40.692778,-73.990278,251,NA,2020-10-04,-28,4.01440941326715
"41","US_VA_51510","VA","Alexandria",159215,51510,38.804722,-77.047222,40,NA,2020-10-04,-28,3.59992398985227
"42","US_VA_51600","VA","Fairfax",23435,51600,38.852612,-77.304377,16,NA,2020-10-04,-28,3.1657449752003
"43","US_CA_06013","CA","Contra Costa County",1145535,6013,37.93,-121.95,2078,NA,2020-10-04,-27,2.74136281968414
"44","US_CA_06113","CA","Yolo County",218477,6113,38.553889,-121.738056,2649,NA,2020-10-04,-27,1.91632376539436
"45","US_CO_08031","CO","Denver County",704961,8031,39.739167,-104.984722,401,NA,2020-10-04,-27,3.24502071890555
"46","US_CO_08117","CO","Summit County",30820,8117,39.6356,-106.10235,1604,NA,2020-10-04,-27,1.28362827043426
"47","US_FL_12001","FL","Alachua County",266309,12001,29.683333,-82.366667,2510,NA,2020-10-04,-27,2.02571212233038
"48","US_FL_12011","FL","Broward County",1934516,12011,26.124354,-80.249503,3418,NA,2020-10-04,-27,2.75280026765134
"49","US_FL_12049","FL","Hardee County",27154,12049,27.49,-81.81,1653,NA,2020-10-04,-27,1.21556096009453
"50","US_FL_12081","FL","Manatee County",385506,12081,27.48,-82.36,2312,NA,2020-10-04,-27,2.22204331203307
"51","US_NC_37135","NC","Orange County",143626,37135,36.06,-79.12,1039,NA,2020-10-04,-27,2.14061751793704
"52","US_NY_36001","NY","Albany County",307717,36001,42.662094,-73.849075,1381,NA,2020-10-04,-27,2.3479578111763
"53","US_PA_42027","PA","Centre County",162316,42027,40.91,-77.82,2880,NA,2020-10-04,-27,1.75096884395376
"54","US_TX_48479","TX","Webb County",273691,48479,27.77,-99.33,8743,NA,2020-10-04,-27,1.49560003800382
"55","US_WI_55025","WI","Dane County",537453,55025,43.07,-89.42,3207,NA,2020-10-04,-27,2.22424153148129
"56","US_CA_06059","CA","Orange County",3174289,6059,33.67,-117.78,2455,NA,2020-10-04,-26,3.11159496767111
"57","US_CO_08097","CO","Pitkin County",17973,8097,39.22,-106.92,2521,NA,2020-10-04,-26,0.853047728633582
